,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,1.9403682972639769
2,0,3,1.940368295469027
3,0,4,3.00797681207034
4,0,5,3.0079768221668077
5,0,6,3.4899852409073406
6,0,7,3.4899852506450726
7,0,8,3.2383215569982964
8,0,9,3.2383215275901605
9,0,10,3.6067082199593377
10,0,11,3.606708195461603
11,0,12,1.757888219093802
12,0,13,1.757888211556792
13,0,14,1.7935432079803244
14,0,15,1.7935432030980727
15,1,2,1.9403682763374368
16,1,3,1.940368274542488
17,1,4,3.0079767974784697
18,1,5,3.0079768075749374
19,1,6,3.489985233931958
20,1,7,3.489985243669688
21,1,8,3.238321560776137
22,1,9,3.238321531368002
23,1,10,3.606708212148602
24,1,11,3.606708187650867
25,1,12,1.7578882099087672
26,1,13,1.757888202371757
27,1,14,1.7935431985244197
28,1,15,1.7935431936421684
29,2,3,0.0
30,2,4,3.482749680906495
31,2,5,3.482749690546356
32,2,6,2.991320444364003
33,2,7,2.991320469447642
34,2,8,3.516576745359769
35,2,9,3.516576766982903
36,2,10,3.1993285838144137
37,2,11,3.199328571106439
38,2,12,1.881174789454548
39,2,13,1.881174834832149
40,2,14,1.796372484096749
41,2,15,1.7963724684555495
42,3,4,3.4899852394353985
43,3,5,3.4899852406486005
44,3,6,3.0079768044830764
45,3,7,3.0079768055520257
46,3,8,3.606708220196303
47,3,9,3.606708179573867
48,3,10,3.238321553498052
49,3,11,3.238321547807068
50,3,12,1.79354320436666
51,3,13,1.7935431912872295
52,3,14,1.7578882117035295
53,3,15,1.7578882079134688
54,4,5,0.0
55,4,6,2.2496338372370346
56,4,7,2.249633852504922
57,4,8,2.5669138055422698
58,4,9,2.5669138076328224
59,4,10,3.744768730523067
60,4,11,3.744768743206496
61,4,12,2.313595196214547
62,4,13,2.31359520124519
63,4,14,2.4084010575195363
64,4,15,2.4084010562681253
65,5,6,2.1921743750580536
66,5,7,2.1921743642545914
67,5,8,2.6074516519282973
68,5,9,2.6074516303954924
69,5,10,3.8636613907639865
70,5,11,3.8636613172965766
71,5,12,2.340041790835222
72,5,13,2.3400418004944137
73,5,14,2.453360152473421
74,5,15,2.4533601687792443
75,6,7,0.0
76,6,8,3.836562548160382
77,6,9,3.8365624793733737
78,6,10,2.6493499222888945
79,6,11,2.6493499186717924
80,6,12,2.4499012310943216
81,6,13,2.4499012392169046
82,6,14,2.331797680112079
83,6,15,2.331797682575351
84,7,8,3.7451732901030375
85,7,9,3.745173322117618
86,7,10,2.61341059035434
87,7,11,2.6134105822774094
88,7,12,2.452401879391936
89,7,13,2.4524018786606936
90,7,14,2.3255600611338503
91,7,15,2.325560054084641
92,8,9,0.0
93,8,10,3.828774505621
94,8,11,3.8287745166272455
95,8,12,3.563258712321689
96,8,13,3.5632587168645355
97,8,14,3.3783106389233053
98,8,15,3.378310637904759
99,9,10,3.8446403526702
100,9,11,3.8446403443991857
101,9,12,3.57344228385578
102,9,13,3.5734422908011294
103,9,14,3.301606156316709
104,9,15,3.301606119760619
105,10,11,0.0
106,10,12,3.376216650166429
107,10,13,3.376216654163324
108,10,14,3.605558061420048
109,10,15,3.605558048825914
110,11,12,3.376216662545996
111,11,13,3.376216666542893
112,11,14,3.605558057339944
113,11,15,3.605558044745809
114,12,13,0.0
115,12,14,0.6463058828205361
116,12,15,0.6463058890666364
117,13,14,0.643271305552702
118,13,15,0.6432713130922394
119,14,15,0.0
